date,start_equity,end_equity,peak_equity,daily_return_pct,daily_max_dd_pct,target_hit,dd_breach,result,symbols
2023-01-03,100000.0,100000.16772504442,100000.33519098366,0.00016772504441905768,0.00016746537791587353,False,False,ok,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-04,100000.20112543264,99999.82392029348,100000.22707465244,-0.00037720438050307085,0.0004031534435069954,False,False,fail,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-05,99999.80148021037,99999.98916181752,99999.9946001301,0.00018768197973122175,5.438312876217047e-06,False,False,ok,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-06,100000.00569094856,100000.0924234287,100000.2392124889,8.673247520066066e-05,0.00014678870907015943,False,False,ok,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-07,100000.09867056257,100000.09867056257,100000.09867056257,0.0,0.0,False,False,ok,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-09,100000.0933832683,100000.07928501572,100000.18719310727,-1.4098239411844775e-05,0.00010790788955537639,False,False,fail,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-10,100000.08803888617,100000.12014163886,100000.19444628478,3.2102724432328326e-05,7.430450142781817e-05,False,False,ok,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-11,100000.10304978199,99999.66516282168,100000.10614303446,-0.00043788650906860434,0.0004409797447082214,False,False,fail,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-12,99999.62278691826,99999.6668414579,99999.89465943775,4.405470582147889e-05,0.00022781821982997922,False,False,ok,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-13,99999.65355977119,99999.50351050218,99999.74548734771,-0.00015004978884302825,0.0002419774613925346,False,False,fail,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-14,99999.49669372,99999.49669372,99999.49669372,0.0,0.0,False,False,ok,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-16,99999.51949786444,99999.47012142277,99999.57380575567,-4.937667893111863e-05,0.00010368477480422892,False,False,fail,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-17,99999.47331200313,99999.72064144156,99999.80320923924,0.00024733074108669356,8.256796016883069e-05,False,False,ok,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-18,99999.71200830124,99999.8394612748,99999.87183461046,0.00012745334060790386,3.237337715504341e-05,False,False,ok,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-19,99999.74377239778,99999.69642037129,99999.90423299598,-4.7352147822445125e-05,0.00020781282370856645,False,False,fail,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-20,99999.75959224995,99999.83994518263,99999.91135350837,8.035312585554019e-05,7.140838904908406e-05,False,False,ok,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-21,99999.78839916049,99999.78839916049,99999.78839916049,0.0,0.0,False,False,ok,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-23,99999.79369162969,99999.72178287689,99999.93182727796,-7.190890115183562e-05,0.00021004454426516543,False,False,fail,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-24,99999.67903702937,99999.96198916771,100000.03214805904,0.0002829530465136729,7.0158868766911e-05,False,False,ok,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-25,99999.96744633839,99999.92693489145,99999.96795225858,-4.051146012017796e-05,4.1017380271331274e-05,False,False,fail,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-26,99999.92024198486,100000.0680705495,100000.10183009374,0.00014782868254966495,3.375950986238817e-05,False,False,ok,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-27,100000.07262260618,99999.86586771895,100000.07837033899,-0.00020675473707850245,0.0002125024534985191,False,False,fail,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-28,99999.97741927207,99999.97741927207,99999.97741927207,0.0,0.0,False,False,ok,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
2023-01-30,99999.97550516031,99999.81583817618,100000.00722629795,-0.0001596670232484932,0.00019138810794670633,False,False,fail,"['EURUSD', 'GBPUSD', 'XAUUSD', 'US30']"
