symbol,trades,avg_pnl,total_pnl
EURUSD,411,-4.352126584952396e-05,-0.017887240264154346
GBPUSD,413,-8.448793919866816e-05,-0.03489351888904995
US30,434,-1.0148621624173279e-05,-0.004404501784891203
XAUUSD,416,6.339107529720474e-05,0.02637068732363717
